score,true_label,pred_label
0.48450181318281904,Potential Fit,Potential Fit
0.5035598159381193,Potential Fit,Potential Fit
0.7082148810705343,Good Fit,Good Fit
0.7048284759546679,Good Fit,Good Fit
0.33441409123136906,No Fit,No Fit
0.3354370975821248,Potential Fit,No Fit
0.6526374535844001,Good Fit,Good Fit
0.29676876842053945,No Fit,No Fit
0.569189676290722,Good Fit,Potential Fit
0.23233566817725398,No Fit,No Fit
0.16372209206673716,No Fit,No Fit
0.3167630179122918,No Fit,No Fit
0.2490563349542148,No Fit,No Fit
0.1140190809926684,No Fit,No Fit
0.47722227446266297,Potential Fit,Potential Fit
0.1911302906594001,No Fit,No Fit
0.32237787432661874,No Fit,No Fit
0.4441423020652413,Potential Fit,Potential Fit
0.8616816335674402,Good Fit,Good Fit
0.4511399311398458,Potential Fit,Potential Fit
0.18516909739596832,No Fit,No Fit
0.23500355163348846,No Fit,No Fit
0.5734709815248464,Good Fit,Potential Fit
0.2673567113097439,No Fit,No Fit
0.19001838326926856,No Fit,No Fit
0.4817475988211161,Potential Fit,Potential Fit
0.2784024858066413,No Fit,No Fit
0.8663254206906281,Good Fit,Good Fit
0.25341808323087295,No Fit,No Fit
0.315547873687279,No Fit,No Fit
0.43288294180198245,Good Fit,Potential Fit
0.3707265788151875,No Fit,No Fit
0.6719256720706903,Good Fit,Good Fit
0.4717003687089504,Potential Fit,Potential Fit
0.35432123533312604,No Fit,No Fit
0.5424838789044679,Potential Fit,Potential Fit
0.27246774048779926,No Fit,No Fit
0.3210316650999778,No Fit,No Fit
0.6594252517254493,Good Fit,Good Fit
0.2578974887789337,No Fit,No Fit
0.4426980002400592,Potential Fit,Potential Fit
0.1798972946384378,No Fit,No Fit
0.24588919827100847,No Fit,No Fit
0.46822449702462343,Potential Fit,Potential Fit
0.48395044776722074,Potential Fit,Potential Fit
0.4907761135735787,Potential Fit,Potential Fit
0.8473590439350421,Good Fit,Good Fit
0.4147263928043343,Potential Fit,Potential Fit
0.7305555390392755,Good Fit,Good Fit
0.2813951392405601,No Fit,No Fit
0.4458433879709075,No Fit,Potential Fit
0.6458005400558946,Good Fit,Potential Fit
0.4147492855390964,Potential Fit,Potential Fit
0.7761870827297409,Good Fit,Good Fit
0.7088972285730083,Good Fit,Good Fit
0.416125530145831,No Fit,Potential Fit
0.87950225366817,Good Fit,Good Fit
0.4837008150495681,Potential Fit,Potential Fit
0.659841943848266,Good Fit,Good Fit
0.13652041182395463,No Fit,No Fit
0.2895474893052666,No Fit,No Fit
0.25935896063402325,No Fit,No Fit
0.32743190757992297,No Fit,No Fit
0.20419789061101928,No Fit,No Fit
0.48723107659515275,Potential Fit,Potential Fit
0.34364113411277447,No Fit,No Fit
0.2827554747780706,No Fit,No Fit
0.49365452929105025,Potential Fit,Potential Fit
0.7505470321014501,Good Fit,Good Fit
0.26401379887452997,No Fit,No Fit
0.24135720673419248,No Fit,No Fit
0.3096725265561636,No Fit,No Fit
0.6224466621651766,Good Fit,Potential Fit
0.19180826253044342,No Fit,No Fit
0.3846508549475495,No Fit,No Fit
0.3017310921362496,No Fit,No Fit
0.4729090661640887,Potential Fit,Potential Fit
0.49155082855644244,Potential Fit,Potential Fit
0.5460935429879489,Good Fit,Potential Fit
0.3362457265130151,No Fit,No Fit
0.7419798074617167,Good Fit,Good Fit
0.7400090494136327,Good Fit,Good Fit
0.3431972039561455,No Fit,No Fit
0.2506591360837313,No Fit,No Fit
0.5480797036340501,Potential Fit,Potential Fit
0.7419634211050911,Good Fit,Good Fit
0.27161092781794,No Fit,No Fit
0.4699751776021347,Potential Fit,Potential Fit
0.6502553278671153,Good Fit,Good Fit
